970.9/236,984.9/236,998.9/236,1012.9/236,1026.9/236,1040.99/236,1055/236,1069/236,1083.03/236,1097/236,970.9/250,984.9/250,998.9/250,1012.9/250,1026.9/250,1055/250,1069/250,1083.03/250,1097/250,970.9/264,984.9/264,998.9/264,1012.9/264,1026.9/264,1040.99/264,1055/264,1069/264,1083.03/264,1097/264,970.9/278,984.9/278,998.9/278,1012.9/278,1026.9/278,1040.99/278,1055/278,1069/278,1083.03/278,1097/278,970.9/292,984.9/292,998.9/292,1012.9/292,1026.9/292,1040.99/292,1055/292,1069/292,1083.03/292,1097/292,970.9/306,984.9/306,998.9/306,1012.9/306,1026.9/306,1040.99/306,1055/306,1069/306,1083.03/306,1097/306,970.9/320,984.9/320,998.9/320,1012.9/320,1026.9/320,1040.99/320,1055/320,1069/320,1083.03/320,1097/320,Condition,Sample
18129,90032,21595,23205,1209,98,139,140,30,50,26741,46183,209470,41806,39539,2013,402,337,222,92,60936,79853,474191,91199,108182,5761,4026,134,123,1215,4830,33679,46765,242323,45001,55577,3465,2027,74,480,10592,9266,163023,215657,1372905,221345,246241,206,175,485,580,5416,3961,59427,84172,400290,67650,63829,2267,94,7931,3642,10886,6832,117107,137985,655620,93174,79365,T,22-T-J9
25434,165962,26005,30176,1421,49,136,53,206,103,41346,44214,281934,33567,27906,1656,116,221,129,705,141765,118094,712194,79626,84151,3327,1535,67,116,3457,5197,70250,54834,280707,33970,25832,1213,438,103,5320,40601,24378,398078,263362,1550358,121084,107804,70,115,728,471,6748,3318,49099,34803,130808,9575,8220,67,95,8955,4424,14179,4507,55070,26869,89574,8103,4221,NT,22-NT-J11
19949,119812,28774,32460,2135,298,350,227,134,77,32487,60922,281373,58814,56923,3276,196,32,213,153,75368,106146,626724,114446,139590,9439,4634,197,136,916,4700,38888,54496,316197,66433,69926,3923,1404,26,1782,17713,13736,217282,281295,1750804,340198,357114,82,49,192,191,7629,5829,74362,104844,610950,98126,85497,4651,179,11235,5996,16888,9631,174122,200000,937772,144345,121827,T,22-T-J11
19781,190915,32070,55470,2402,2646,192,213,118,129,38552,38351,336344,50129,78848,3560,561,190,165,295,159167,136341,1284482,166095,340794,8755,10490,218,156,5375,5867,53819,53214,406752,66817,91195,3483,2577,52,4558,36978,19343,460249,373929,4233170,405719,697489,107,197,1611,47,9540,5002,88377,78778,585287,64939,85357,1434,351,12279,7231,36532,12895,294438,197252,1433275,137718,187958,NT,23-NT-J1
17073,98923,22011,33010,3374,1220,184,77,206,82,28250,32881,229860,38782,47980,2417,285,288,191,515,75088,93543,670907,109037,191943,9185,7072,67,132,485,800,27470,31774,219274,41486,57284,1896,1007,114,2813,14349,12959,189587,195097,1634063,246547,326332,93,124,1265,625,5013,3438,53014,53069,341578,49930,54457,2192,126,7134,4684,13393,6962,99145,113087,547946,63214,65045,T,23-T-J1
7373,77203,12589,23265,701,477,227,149,187,152,14776,18300,126158,19184,29452,428,197,62,231,372,62414,41356,452978,49427,110326,3295,2911,104,155,523,1725,19264,15430,146781,21815,30737,1396,837,76,4227,7263,8997,161224,119701,1280246,136497,245350,23,116,806,262,1796,900,25167,23318,161206,17715,26323,441,601,5388,2715,11134,3772,80371,48191,426275,40257,66812,NT,23-NT-J11
3067,16490,4029,6257,329,98,363,281,114,77,6712,8524,51304,9685,13746,1023,301,66,284,449,16983,16436,139807,26301,43136,1805,2207,168,53,726,798,5084,7008,39294,8033,12986,754,376,60,511,3131,1584,36656,43172,317434,56538,75966,108,122,341,192,844,509,12228,15829,93480,14906,15794,471,238,3634,530,4846,1118,30721,33423,188672,26703,30888,T,23-T-J11
13286,125366,15015,25214,830,1009,91,44,157,74,21794,19773,153048,17450,19794,840,314,298,148,141,72781,55750,418839,42845,63059,4351,1607,34,101,1276,1536,35099,24777,186590,23808,31665,337,786,74,982,18531,10407,218571,156158,1325402,122244,194419,154,130,285,260,4247,1966,33154,23613,165209,17272,21767,443,63,4744,2640,7288,3932,62547,46648,262762,28540,35101,NT,24-NT-J1
15061,84296,25030,26770,1096,782,277,95,59,77,28449,39916,204652,38302,36196,1194,140,224,155,52,64253,83171,434535,99056,123605,5181,1795,67,21,5058,6738,36981,48914,273957,56300,56595,2371,1228,52,2769,16683,10745,196668,261096,1537178,274172,307400,104,149,292,741,7655,4662,78581,91699,503927,74302,62702,2057,354,13146,7643,19788,12024,125435,177493,675944,105985,82076,T,24-T-J1
14678,74581,17599,22662,1769,98,230,43,148,180,19697,35149,162452,35290,42599,2091,1086,458,225,341,50870,71337,394426,83143,112054,9934,4024,197,216,4089,9266,29132,32816,200563,46447,55051,3207,1017,26,6086,18395,12259,161296,198387,1224647,223349,270430,160,110,246,92,7857,3768,62553,81579,414561,73522,73327,3504,344,13999,4656,14563,10410,124088,152490,698922,127367,113543,T,24-T-J9
